Rok dodania,Ticker,Ticker (Google),Kod ISIN,Kraj lub region inwestycji,Temat inwestycji,Pełna nazwa,Zarządzany przez,Typ,Rok powstania,Rezydentura (domicile),Replikacja,mBank,XTB,DM BOŚ,Opłata roczna,"Aktywa
(mln EUR)",Liczba instrumentów,Waluta funduszu (dywidend),Zabezpieczenie walutowe,Częstotliwość dywidend,DY 2019,DY 2020,DY 2021,DY 2022,DY 2023,DY 2024,Kurs,Waluta,MIN 1R,MAX 1R,NOW/MAX,MIN/MAX
2022,JPGL,FRA:JPGL,IE00BJRCLL96,Globalny,Akcje - factor,JPM GLOBAL EQUITY MULTI-FACTOR UCITS ETF - USD (ACC),J.P. Morgan,Accumulating,2019,Irlandia,Fizyczna,nie,tak,tak,"0,19%",178,519,USD,,,,,,,,,,,,,,
2024,WELK,FRA:WELK,IE000KYX7IP4,Globalny,Akcje - finanse,AMUNDI S&P GLOBAL FINANCIALS ESG UCITS EUR,Amundi,Accumulating,2022,Irlandia,Fizyczna,nie,tak,tak,"0,18%",521,202,EUR,,,,,,,,,,,,,,
2025,AVWS,FRA:AVWS,IE0003R87OG3,Globalny,Akcje - małe spółki,AVANTIS GLOBAL SMALL CAP VALUE UCITS ETF USD ACC ETF,American Century,Accumulating,2024,Irlandia,Fizyczna,tak,tak,tak,"0,39%",386,,USD,,,,,,,,,,,,,,
2020,GLRE,LON:GLRE,IE00B8GF1M35,Globalny,Akcje - nieruchomości,SPDR DOW JONES GLOBAL REAL ESTATE UCITS,SPDR,Distributing,2012,Irlandia,Fizyczna,nie,nie,tak,"0,40%",263,226,USD,,Co 3M,"3,1%","2,1%","2,5%","2,2%","2,7%","2,8%","34,89",USD,"29,22","36,08","96,7%","81,0%"
2020,SPYJ,FRA:SPYJ,IE00B8GF1M35,Globalny,Akcje - nieruchomości,SPDR DOW JONES GLOBAL REAL ESTATE UCITS,SPDR,Distributing,2012,Irlandia,Fizyczna,tak,tak,nie,"0,40%",263,226,USD,,Co 3M,"3,1%","2,1%","2,5%","2,2%","2,7%","2,8%",,,,,,
2020,SPY2,FRA:SPY2,IE00BH4GR342,Globalny,Akcje - nieruchomości,SPDR DOW JONES GLOBAL REAL ESTATE UCITS ETF,SPDR,Accumulating,2019,Irlandia,Fizyczna,nie,tak,tak,"0,40%",40,226,USD,,,,,,,,,,,,,,
2020,EPRA,EPA:EPRA,LU1437018838,Globalny,Akcje - nieruchomości,AMUNDI INDEX FTSE EPRA NAREIT GLOBAL UCITS ETF,Amundi,Accumulating,2016,Luksemburg,Fizyczna,nie,nie,tak,"0,24%",299,359,EUR,,,,,,,,,"63,71",EUR,"54,95","68,25","93,3%","80,5%"
2020,10AJ,FRA:10AJ,LU1737652823,Globalny,Akcje - nieruchomości,AMUNDI INDEX FTSE EPRA NAREIT GLOBAL UCITS ETF,Amundi,Distributing,2018,Luksemburg,Fizyczna,nie,tak,tak,"0,24%",55,359,EUR,,Co 12M,"3,5%","2,5%","2,8%","2,5%","3,1%","3,0%",,,,,,
2024,ASRM,FRA:ASRM,LU2365458905,Globalny,Akcje - nieruchomości,FTSE EPRA NAREIT GLOBAL DEVELOPED GREEN CTB- BNP PARIBAS,BNP Paribas,Accumulating,2021,Luksemburg,Fizyczna,nie,tak,nie,"0,41%",33,331,EUR,,,,,,,,,,,,,,
2025,TRET,FRA:TRET,NL0009690239,Globalny,Akcje - nieruchomości,VANECK VECTOR GLOBAL REAL ESTATE UCITS ETF,VanEck,Distributing,2011,Holandia,Fizyczna,tak,tak,nie,"0,25%",304,100,EUR,,Co 3M,"3,9%","3,6%","2,4%","3,6%","3,9%","3,6%",,,,,,
2020,TRET,AMS:TRET,NL0009690239,Globalny,Akcje - nieruchomości,VANECK VECTOR GLOBAL REAL ESTATE UCITS ETF,VanEck,Distributing,2011,Holandia,Fizyczna,nie,nie,tak,"0,25%",304,100,EUR,,Co 3M,"3,9%","3,6%","2,4%","3,6%","3,9%","3,6%","37,58",EUR,"33,2","41,5","90,6%","80,0%"
2025,4MMR,FRA:4MMR,IE000JCW3DZ3,Globalny,Akcje - obronność,GLOBAL X DEFENCE TECH UCITS ETF USD ACCUMULATING,Global X,Accumulating,2024,Irlandia,Fizyczna,nie,tak,nie,"0,50%",290,42,USD,,,,,,,,,,,,,,
2025,MISL,LON:MISL,IE000NVDQXE1,Globalny,Akcje - obronność,FIRST TRUST INDXX GLOBAL AEROSPACE & DEFENCE UCITS ETF CLASS A ACCUMULATION,First Trust,Accumulating,2024,Irlandia,Fizyczna,nie,tak,nie,"0,65%",50,48,USD,,,,,,,,,"34,07",USD,"19,48","34,07","100,0%","57,2%"
2025,ICBM,LON:ICBM,IE000NVDQXE1,Globalny,Akcje - obronność,FIRST TRUST INDXX GLOBAL AEROSPACE & DEFENCE UCITS ETF CLASS A ACCUMULATION,First Trust,Accumulating,2024,Irlandia,Fizyczna,nie,tak,nie,"0,65%",50,48,USD,,,,,,,,,"2 529,35",GBX,1550,"2520,5","100,4%","61,5%"
2025,FTGA,FRA:FTGA,IE000NVDQXE1,Globalny,Akcje - obronność,FIRST TRUST INDXX GLOBAL AEROSPACE & DEFENCE UCITS ETF CLASS A ACCUMULATION,First Trust,Accumulating,2024,Irlandia,Fizyczna,nie,tak,nie,"0,65%",50,48,USD,,,,,,,,,,,,,,
2025,DFND,EPA:DFND,IE000U9ODG19,Globalny,Akcje - obronność,ISHARES GLOBAL AEROSPACE & DEFENCE UCITS ETF USD ACCU,iShares,Accumulating,2024,Irlandia,Fizyczna,nie,tak,tak,"0,35%",719,58,USD,,,,,,,,,"8,23",EUR,"5,02","8,27","99,5%","60,7%"
2023,DFNS,LON:DFNS,IE000YYE6WK5,Globalny,Akcje - obronność,VANECK DEFENSE UCITS ETF A,VanEck,Accumulating,2023,Irlandia,Fizyczna,nie,tak,tak,"0,55%",6 025,31,USD,,,,,,,,,"65,32",USD,"36,26",72,"90,7%","50,4%"
2023,DFEN,FRA:DFEN,IE000YYE6WK5,Globalny,Akcje - obronność,VANECK DEFENSE UCITS ETF A,VanEck,Accumulating,2023,Irlandia,Fizyczna,tak,tak,nie,"0,55%",6 025,31,USD,,,,,,,,,"20,90",EUR,"17,93",21,"99,5%","85,4%"
2023,CIB0,FRA:CIB0,IE0005TF96I9,Globalny,Akcje - ochrona zdrowia,VANECK BIONIC ENGINEERING UCITS ETF A,VanEck,Accumulating,2022,Irlandia,Fizyczna,nie,nie,tak,"0,55%",4,25,USD,,,,,,,,,,,,,,
2025,WELS,FRA:WELS,IE0006FM6MI8,Globalny,Akcje - ochrona zdrowia,AMUNDI S&P GLOBAL HEALTH CARE ESG UCITS ETF DR EUR (A),Amundi,Accumulating,2022,Irlandia,Fizyczna,nie,tak,nie,"0,18%",205,103,EUR,,,,,,,,,,,,,,
2023,CURE,FRA:CURE,IE000B9PQW54,Globalny,Akcje - ochrona zdrowia,VANECK GENOMICS AND HEALTHCARE INNOVATORS UCITS ETF A,VanEck,Accumulating,2022,Irlandia,Fizyczna,nie,nie,tak,"0,35%",5,46,USD,,,,,,,,,,,,,,
2024,XGEN,FRA:XGEN,IE000KD0BZ68,Globalny,Akcje - ochrona zdrowia,XTRACKERS MSCI GENOMIC HEALTHCARE INNOVATION UCITS ETF 1C 1C,Xtrackers,Accumulating,2022,Irlandia,Fizyczna,nie,tak,nie,"0,30%",6,98,USD,,,,,,,,,,,,,,
2023,W311,FRA:W311,IE00BJQTJ848,Globalny,Akcje - ochrona zdrowia,HARBOR HEALTH CARE UCITS ETF ACCUMULATING,HanETF,Accumulating,2019,Irlandia,Fizyczna,tak,nie,tak,"0,89%",15,39,USD,,,,,,,,,,,,,,
2020,XMLH,FRA:XMLH,IE00BK5BC677,Globalny,Akcje - ochrona zdrowia,L&G HEALTHCARE BREAKTHROUGH UCITS,L&G,Accumulating,2019,Irlandia,Fizyczna,tak,nie,nie,"0,49%",77,63,USD,,,,,,,,,,,,,,
2020,AGED,LON:AGED,IE00BYZK4669,Globalny,Akcje - ochrona zdrowia,ISHARES AGEING POPULATION UCITS ETF,iShares,Accumulating,2016,Irlandia,Fizyczna,tak,tak,nie,"0,40%",473,341,USD,,,,,,,,,"9,69",USD,"6,74","9,72","99,7%","69,3%"
2020,2B77,FRA:2B77,IE00BYZK4669,Globalny,Akcje - ochrona zdrowia,ISHARES AGEING POPULATION UCITS ETF,iShares,Accumulating,2016,Irlandia,Fizyczna,nie,tak,tak,"0,40%",473,341,USD,,,,,,,,,,,,,,
2020,HEAL,LON:HEAL,IE00BYZK4776,Globalny,Akcje - ochrona zdrowia,ISHARES HEALTHCARE INNOVATION UCITS ,iShares,Accumulating,2016,Irlandia,Fizyczna,nie,tak,nie,"0,40%",810,176,USD,,,,,,,,,"9,04",USD,"6,43","9,3","97,2%","69,1%"
2020,2B78,FRA:2B78,IE00BYZK4776,Globalny,Akcje - ochrona zdrowia,ISHARES HEALTHCARE INNOVATION UCITS ,iShares,Accumulating,2016,Irlandia,Fizyczna,tak,tak,tak,"0,40%",810,176,USD,,,,,,,,,,,,,,
2025,WELH,FRA:WELH,IE000LTA2082,Globalny,Akcje - przemysł,AMUNDI S&P GLOBAL INDUSTRIALS ESG UCITS ETF DR EUR (A),Amundi,Accumulating,2022,Irlandia,Fizyczna,nie,tak,nie,"0,18%",342,202,EUR,,,,,,,,,,,,,,
2023,WAT,EPA:WAT,FR0010527275,Globalny,Akcje - SRI,AMUNDI MSCI WATER UCITS ETF DIST,Amundi,Distributing,2007,Francja,Fizyczna,nie,tak,tak,"0,60%",1 568,37,EUR,,Co 12M,"2,0%","1,3%","0,8%","0,4%","1,0%","0,9%","67,05",EUR,"58,27","70,84","94,6%","82,3%"
2024,AMEE,FRA:AMEE,FR0010930644,Globalny,Akcje - SRI,AMUNDI GLOBAL HYDROGEN UCITS ETF ACC,Amundi,Accumulating,2010,Francja,Fizyczna,nie,tak,nie,"0,45%",66,46,EUR,,,,,,,,,,,,,,
2025,ANRJ,EPA:ANRJ,FR0010930644,Globalny,Akcje - SRI,AMUNDI GLOBAL HYDROGEN UCITS ETF ACC,Amundi,Accumulating,2010,Francja,Fizyczna,nie,nie,tak,"0,45%",66,46,EUR,,,,,,,,,"614,50",EUR,"376,45","626,1","98,1%","60,1%"
2025,JRGE,FRA:JRGE,IE0000UW95D6,Globalny,Akcje - SRI,JPMORGAN GLOBAL RESEARCH ENHANCED INDEX EQUITY (ESG) UCITS ETF EUR HEDGED (ACC),J.P. Morgan,Accumulating,2021,Irlandia,Fizyczna,nie,tak,nie,"0,25%",731,669,EUR,tak,,,,,,,,,,,,,
2023,CBUQ,FRA:CBUQ,IE00013A2XD6,Globalny,Akcje - SRI,ISHARES MSCI ACWI SRI UCITS ETF USD DIST,iShares,Distributing,2022,Irlandia,Fizyczna,nie,nie,tak,"0,20%",22,570,USD,,Co 6M,,,,,"1,8%","1,7%",,,,,,
2023,REUS,FRA:REUS,IE0001J5A2T9,Globalny,Akcje - SRI,VANECK CIRCULAR ECONOMY UCITS ETF A,VanEck,Accumulating,2022,Irlandia,Fizyczna,nie,nie,tak,"0,40%",6,25,USD,,,,,,,,,,,,,,
2024,DGGE,EPA:DGGE,IE00023EZQ82,Globalny,Akcje - SRI,ISHARES DIGITAL ENTERTAINMENT AND EDUCATION UCITS ETF USD (ACC),iShares,Accumulating,2022,Irlandia,Fizyczna,nie,nie,tak,"0,40%",61,88,USD,,,,,,,,,"9,90",EUR,7,"10,81","91,6%","64,8%"
2025,HYCN,FRA:HYCN,IE0002RPS3K2,Globalny,Akcje - SRI,GLOBAL X HYDROGEN UCITS ETF USD ACCUMULATING,Global X,Accumulating,2022,Irlandia,Fizyczna,nie,tak,nie,"0,50%",8,19,USD,,,,,,,,,,,,,,
2025,JEGS,FRA:JEGS,IE0003JSNHV9,Globalny,Akcje - SRI,JPMORGAN GLOBAL RESEARCH ENHANCED INDEX EQUITY SRI PARIS ALIGNED UCITS ETF EUR (ACC),J.P. Morgan,Accumulating,2023,Irlandia,Fizyczna,nie,tak,nie,"0,25%",290,415,EUR,,,,,,,,,,,,,,
2023,HYDE,LON:HYDE,IE00053WDH64,Globalny,Akcje - SRI,INVESCO HYDROGEN ECONOMY UCITS ETF ACC,Invesco,Accumulating,2022,Irlandia,Fizyczna,tak,nie,tak,"0,60%",3,63,USD,,,,,,,,,"4,25",USD,"2,42","4,28","99,3%","56,5%"
2025,HYDE,FRA:HYDE,IE00053WDH64,Globalny,Akcje - SRI,INVESCO HYDROGEN ECONOMY UCITS ETF ACC,Invesco,Accumulating,2022,Irlandia,Fizyczna,nie,tak,nie,"0,60%",3,63,USD,,,,,,,,,,,,,,
2025,XCSI,FRA:XCSI,IE0005MWBFR7,Globalny,Akcje - SRI,JPMORGAN GLOBAL RESEARCH ENHANCED INDEX EQUITY (ESG) UCITS ETF EUR (ACC),J.P. Morgan,Accumulating,2024,Irlandia,Fizyczna,nie,tak,nie,"0,25%",291,669,EUR,,,,,,,,,,,,,,
2025,JGIE,FRA:JGIE,IE0005MWBFR7,Globalny,Akcje - SRI,JPMORGAN GLOBAL RESEARCH ENHANCED INDEX EQUITY (ESG) UCITS ETF EUR (ACC),J.P. Morgan,Accumulating,2024,Irlandia,Fizyczna,nie,tak,nie,"0,25%",291,669,EUR,,,,,,,,,,,,,,
2024,XNNV,FRA:XNNV,IE0006FFX5U1,Globalny,Akcje - SRI,XTRACKERS MSCI INNOVATION UCITS ETF 1C 1C,Xtrackers,Accumulating,2022,Irlandia,Fizyczna,nie,tak,nie,"0,30%",7,191,USD,,,,,,,,,,,,,,
2024,XDG6,FRA:XDG6,IE0007WJ6B10,Globalny,Akcje - SRI,XTRACKERS MSCI GLOBAL CLEAN WATER & SANITATION UCITS ETF 1C 1C,Xtrackers,Accumulating,2023,Irlandia,Fizyczna,nie,tak,tak,"0,35%",7,76,USD,,,,,,,,,"32,08",EUR,"29,22","32,51","98,7%","89,9%"
2024,WDEY,FRA:WDEY,IE0008RX29L5,Globalny,Akcje - SRI,INVESCO WIND ENERGY UCITS ETF ACC,Invesco,Accumulating,2022,Irlandia,Fizyczna,nie,tak,nie,"0,60%",4,70,USD,,,,,,,,,,,,,,
2025,JGEP,LON:JGEP,IE000D9DX847,Globalny,Akcje - SRI,JPMORGAN GLOBAL RESEARCH ENHANCED INDEX EQUITY (ESG) UCITS ETF GBP HEDGED (ACC),J.P. Morgan,Accumulating,2021,Irlandia,Fizyczna,nie,tak,nie,"0,25%",408,669,GBP,tak,,,,,,,,"4 504,50",GBX,"3182,9","4512,5","99,8%","70,5%"
2025,JRGD,FRA:JRGD,IE000HFXP0D2,Globalny,Akcje - SRI,JPMORGAN GLOBAL RESEARCH ENHANCED INDEX EQUITY (ESG) UCITS ETF USD (DIST),J.P. Morgan,Distributing,2021,Irlandia,Fizyczna,nie,tak,nie,"0,25%",1 613,669,USD,,Co 3M,,,,"1,3%","1,1%","1,2%",,,,,,
2025,IQQK,FRA:IQQK,IE000HFXP0D2,Globalny,Akcje - SRI,JPMORGAN GLOBAL RESEARCH ENHANCED INDEX EQUITY (ESG) UCITS ETF USD (DIST),J.P. Morgan,Distributing,2021,Irlandia,Fizyczna,nie,tak,nie,"0,25%",1 613,669,USD,,Co 3M,,,,"1,3%","1,1%","1,2%",,,,,,
2025,WNDY,FRA:WNDY,IE000JNHCBM6,Globalny,Akcje - SRI,GLOBAL X WIND ENERGY UCITS ETF USD ACCUMULATING,Global X,Accumulating,2022,Irlandia,Fizyczna,nie,tak,nie,"0,50%",3,25,USD,,,,,,,,,,,,,,
2024,CBUY,FRA:CBUY,IE000JTPK610,Globalny,Akcje - SRI,ISHARES MSCI ACWI SRI UCITS ETF USD (ACC),iShares,Accumulating,2023,Irlandia,Fizyczna,nie,tak,tak,"0,20%",77,570,USD,,,,,,,,,"5,03",EUR,"4,2","5,08","99,0%","82,7%"
2025,XDG7,FRA:XDG7,IE000JZYIUN0,Globalny,Akcje - SRI,XTRACKERS MSCI GLOBAL SDG 7 AFFORDABLE AND CLEAN ENERGY UCITS ETF 1C 1C,Xtrackers,Accumulating,2023,Irlandia,Fizyczna,nie,tak,nie,"0,35%",15,85,USD,,,,,,,,,"24,86",EUR,"24,13","28,41","87,5%","84,9%"
2025,JREW,FRA:JREW,IE000T4LTZ00,Globalny,Akcje - SRI,JPMORGAN ALL COUNTRY RESEARCH ENHANCED INDEX EQUITY ACTIVE UCITS ETF EUR (ACC),J.P. Morgan,Accumulating,2024,Irlandia,Fizyczna,nie,tak,nie,"0,25%",2,1 049,EUR,,,,,,,,,,,,,,
2024,JPCE,FRA:JPCE,IE000W95TAE6,Globalny,Akcje - SRI,JPMORGAN CARBON TRANSITION GLOBAL EQUITY (CTB) UCITS ETF EUR HEDGED (ACC),J.P. Morgan,Accumulating,2022,Irlandia,Fizyczna,nie,tak,nie,"0,19%",5,342,EUR,tak,,,,,,,,,,,,,
2025,RA7Z,FRA:RA7Z,IE000XD7KCJ7,Globalny,Akcje - SRI,GLOBAL X SOLAR UCITS ETF,Global X,Accumulating,2022,Irlandia,Fizyczna,nie,nie,tak,"0,50%",3,46,USD,,,,,,,,,,,,,,
2025,IUSL,FRA:IUSL,IE00B57X3V84,Globalny,Akcje - SRI,ISHARES DOW JONES GLOBAL LEADERS SCREENED UCITS ETF USD (ACC),iShares,Accumulating,2011,Irlandia,Fizyczna,nie,tak,nie,"0,60%",1 493,570,USD,,,,,,,,,,,,,,
2025,XDEP,FRA:XDEP,IE00BDR55471,Globalny,Akcje - SRI,UBS MSCI ACWI SOCIALLY RESPONSIBLE UCITS ETF USD ACC,UBS,Accumulating,2020,Irlandia,Fizyczna,nie,tak,nie,"0,25%",571,565,USD,,,,,,,,,,,,,,
2025,JSRI,FRA:JSRI,IE00BDR55927,Globalny,Akcje - SRI,UBS MSCI ACWI SOCIALLY RESPONSIBLE UCITS ETF HEUR ACC,UBS,Accumulating,2017,Irlandia,Fizyczna,nie,tak,nie,"0,28%",578,565,EUR,tak,,,,,,,,,,,,,
2025,ETLQ,FRA:ETLQ,IE00BFXR5S54,Globalny,Akcje - SRI,L&G GLOBAL EQUITY UCITS ETF,L&G,Accumulating,2018,Irlandia,Fizyczna,nie,tak,nie,"0,10%",830,1 347,USD,,,,,,,,,,,,,,
2020,XMAW,FRA:XMAW,IE00BGHQ0G80,Globalny,Akcje - SRI,XTRACKERS MSCI AC WORLD SCREENED UCITS ETF 1C,Xtrackers,Accumulating,2014,Irlandia,Fizyczna,nie,tak,tak,"0,25%",4 330,1 922,EUR,,,,,,,,,,,,,,
2020,GLGG,LON:GLGG,IE00BK5BC891,Globalny,Akcje - SRI,L&G CLEAN WATER UCITS ETF,L&G,Accumulating,2019,Irlandia,Fizyczna,nie,tak,tak,"0,49%",514,57,USD,,,,,,,,,"1 523,02",GBX,1200,"1601,8","95,1%","74,9%"
2020,XMLC,FRA:XMLC,IE00BK5BC891,Globalny,Akcje - SRI,L&G CLEAN WATER UCITS ETF,L&G,Accumulating,2019,Irlandia,Fizyczna,tak,nie,nie,"0,49%",514,57,USD,,,,,,,,,,,,,,
2022,FOOD,LON:FOOD,IE00BLRPQH31,Globalny,Akcje - SRI,RIZE SUSTAINABLE FUTURE OF FOOD UCITS,RIZE,Accumulating,2020,Irlandia,Fizyczna,nie,tak,nie,"0,45%",82,50,USD,,,,,,,,,"3,69",USD,"3,29","4,17","88,5%","78,9%"
2020,RIZF,FRA:RIZF,IE00BLRPQH31,Globalny,Akcje - SRI,RIZE SUSTAINABLE FUTURE OF FOOD UCITS,RIZE,Accumulating,2020,Irlandia,Fizyczna,tak,nie,tak,"0,45%",82,50,USD,,,,,,,,,,,,,,
2020,HTWO,LON:HTWO,IE00BMYDM794,Globalny,Akcje - SRI,L&G HYDROGEN ECONOMY UCITS ETF USD ACC,L&G,Accumulating,2021,Irlandia,Fizyczna,nie,tak,nie,"0,49%",350,30,USD,,,,,,,,,"6,39",USD,"3,53","7,17","89,1%","49,2%"
2020,HTMW,FRA:HTMW,IE00BMYDM794,Globalny,Akcje - SRI,L&G HYDROGEN ECONOMY UCITS ETF USD ACC,L&G,Accumulating,2021,Irlandia,Fizyczna,tak,tak,tak,"0,49%",350,30,USD,,,,,,,,,,,,,,
2020,ECLM,FRA:ECLM,IE00BNC1F287,Globalny,Akcje - SRI,GUINNESS SUSTAINABLE ENERGY UCITS ETF ACCUMULATING,HanETF,Accumulating,2020,Irlandia,Fizyczna,tak,nie,nie,"0,65%",14,39,USD,,,,,,,,,,,,,,
2021,V3AA,FRA:V3AA,IE00BNG8L278,Globalny,Akcje - SRI,VANGUARD ESG GLOBAL ALL CAP UCITS ETF,Vanguard,Accumulating,2021,Irlandia,Fizyczna,nie,tak,tak,"0,24%",633,5 707,USD,,,,,,,,,,,,,,
2025,ZPRI,FRA:ZPRI,IE00BNG8L385,Globalny,Akcje - SRI,VANGUARD ESG GLOBAL ALL CAP UCITS ETF (USD) DISTRIBUTING,Vanguard,Distributing,2021,Irlandia,Fizyczna,nie,tak,nie,"0,24%",463,5 707,USD,,Co 3M,,,,"1,4%","1,7%","1,6%",,,,,,
2021,EMEC,FRA:EMEC,LU1953136527,Globalny,Akcje - SRI,BNPP EASY ECPI CIRCULAR ECONOMY LEADERS TRACK CLASSIC ,BNP Paribas,Accumulating,2019,Luksemburg,Fizyczna,nie,tak,nie,"0,30%",465,50,EUR,,,,,,,,,,,,,,
2020,GENY,LON:GENY,LU2023678449,Globalny,Akcje - SRI,AMUNDI MSCI MILLENNIALS ESG FILTERED UCITS ETF - ACC,Amundi,Accumulating,2020,Luksemburg,Fizyczna,tak,nie,tak,"0,45%",39,230,USD,,,,,,,,,"18,39",USD,"15,1","18,88","97,4%","80,0%"
2022,SEC0,FRA:SEC0,IE000I8KRLL9,Globalny,Akcje - technologia,ISHARES MSCI GLOBAL SEMICONDUCTORS UCITS,iShares,Accumulating,2021,Irlandia,Fizyczna,nie,tak,tak,"0,35%",1 138,246,USD,,,,,,,,,,,,,,
2023,XNGI,FRA:XNGI,IE000XOQ9TK4,Globalny,Akcje - technologia,XTRACKERS MSCI NEXT GENERATION INTERNET INNOVATION UCITS,Xtrackers,Accumulating,2022,Irlandia,Fizyczna,nie,tak,tak,"0,30%",62,100,USD,,,,,,,,,,,,,,
2024,XFNT,FRA:XFNT,IE000YDOORK7,Globalny,Akcje - technologia,XTRACKERS MSCI FINTECH INNOVATION UCITS ETF 1C 1C,Xtrackers,Accumulating,2022,Irlandia,Fizyczna,nie,tak,nie,"0,30%",15,98,USD,,,,,,,,,,,,,,
2023,JEDI,FRA:JEDI,IE000YU9K6K2,Globalny,Akcje - technologia,VANECK SPACE INNOVATORS UCITS ETF,VanEck,Accumulating,2022,Irlandia,Fizyczna,nie,tak,tak,"0,55%",257,25,USD,,,,,,,,,,,,,,
2020,ITEK,LON:ITEK,IE00BDDRF700,Globalny,Akcje - technologia,HAN-GINS TECH MEGATREND EQUAL WEIGHT UCITS,HanETF,Accumulating,2018,Irlandia,Fizyczna,tak,nie,nie,"0,59%",88,120,USD,,,,,,,,,"18,04",USD,"10,78","19,84","90,9%","54,3%"
2025,T3KE,FRA:T3KE,IE00BDDRF700,Globalny,Akcje - technologia,HAN-GINS TECH MEGATREND EQUAL WEIGHT UCITS,HanETF,Accumulating,2018,Irlandia,Fizyczna,nie,tak,tak,"0,59%",88,120,USD,,,,,,,,,,,,,,
2020,WTAI,LON:WTAI,IE00BDVPNG13,Globalny,Akcje - technologia,WISDOMTREE ARTIFICIAL INTELLIGENCE UCITS ETF ACC,WIsdomTree,Accumulating,2018,Irlandia,Fizyczna,tak,tak,nie,"0,40%",832,55,USD,,,,,,,,,"89,62",USD,"47,41","97,09","92,3%","48,8%"
2020,WTI2,FRA:WTI2,IE00BDVPNG13,Globalny,Akcje - technologia,WISDOMTREE ARTIFICIAL INTELLIGENCE UCITS ETF ACC,WIsdomTree,Accumulating,2018,Irlandia,Fizyczna,nie,tak,tak,"0,40%",832,55,USD,,,,,,,,,,,,,,
2020,LEGR,LON:LEGR,IE00BF5DXP42,Globalny,Akcje - technologia,FIRST TRUST INDXX INNOVATIVE TRANSACTION & PROCESS UCITS ETF ACC,First Trust,Accumulating,2018,Irlandia,Fizyczna,tak,nie,nie,"0,65%",42,100,USD,,,,,,,,,"49,81",USD,"33,31","49,81","100,0%","66,9%"
2023,BLOK,LON:BLOK,IE00BF5DXP42,Globalny,Akcje - technologia,FIRST TRUST INDXX INNOVATIVE TRANSACTION & PROCESS UCITS ETF ACC,First Trust,Accumulating,2018,Irlandia,Fizyczna,nie,tak,nie,"0,65%",42,100,USD,,,,,,,,,"3 689,02",GBX,2547,3717,"99,2%","68,5%"
2021,FSKY,LON:FSKY,IE00BFD2H405,Globalny,Akcje - technologia,FIRST TRUST CLOUD COMPUTING UCITS ETF,First Trust,Accumulating,2018,Irlandia,Fizyczna,tak,tak,nie,"0,60%",420,61,USD,,,,,,,,,"4 040,96",GBX,"2585,7",4627,"87,3%","55,9%"
2025,SKYE,AMS:SKYE,IE00BFD2H405,Globalny,Akcje - technologia,FIRST TRUST CLOUD COMPUTING UCITS ETF,First Trust,Accumulating,2018,Irlandia,Fizyczna,nie,nie,tak,"0,60%",420,61,USD,,,,,,,,,"46,64",EUR,"32,22","53,44","87,3%","60,3%"
2025,SHLD,LON:SHLD,IE00BG0J4841,Globalny,Akcje - technologia,ISHARES DIGITAL SECURITY UCITS ETF USD DIST,iShares,Distributing,2018,Irlandia,Fizyczna,nie,tak,nie,"0,40%",156,111,USD,,Co 6M,,,"0,8%","0,5%","0,6%","0,6%","11,13",USD,"8,15","11,78","94,5%","69,2%"
2025,IS4S,FRA:IS4S,IE00BG0J4841,Globalny,Akcje - technologia,ISHARES DIGITAL SECURITY UCITS ETF USD DIST,iShares,Distributing,2018,Irlandia,Fizyczna,nie,tak,tak,"0,40%",156,111,USD,,Co 6M,,,"0,8%","0,5%","0,6%","0,6%",,,,,,
2020,LOCK,LON:LOCK,IE00BG0J4C88,Globalny,Akcje - technologia,ISHARES DIGITAL SECURITY UCITS ETF,iShares,Accumulating,2018,Irlandia,Fizyczna,tak,tak,nie,"0,40%",1 441,111,USD,,,,,,,,,"10,10",USD,"7,35","10,68","94,6%","68,8%"
2022,L0CK,FRA:L0CK,IE00BG0J4C88,Globalny,Akcje - technologia,ISHARES DIGITAL SECURITY UCITS ETF,iShares,Accumulating,2018,Irlandia,Fizyczna,nie,tak,tak,"0,40%",1 441,111,USD,,,,,,,,,,,,,,
2020,ECAR,LON:ECAR,IE00BGL86Z12,Globalny,Akcje - technologia,ISHARES ELECTRIC VEHICLES & DRIVING TECHNOLOGY UCITS ,iShares,Accumulating,2019,Irlandia,Fizyczna,tak,tak,nie,"0,40%",390,88,USD,,,,,,,,,"9,67",USD,"5,75","9,87","98,0%","58,3%"
2020,IEVD,FRA:IEVD,IE00BGL86Z12,Globalny,Akcje - technologia,ISHARES ELECTRIC VEHICLES & DRIVING TECHNOLOGY UCITS,iShares,Accumulating,2019,Irlandia,Fizyczna,nie,nie,tak,"0,40%",390,88,USD,,,,,,,,,,,,,,
2020,XAIX,FRA:XAIX,IE00BGV5VN51,Globalny,Akcje - technologia,XTRACKERS ARTIFIC INTELLIG AND BIGDATAUCITS ETF 1C ,Xtrackers,Accumulating,2019,Irlandia,Fizyczna,tak,tak,tak,"0,35%",5 300,88,USD,,,,,,,,,,,,,,
2020,XMOV,FRA:XMOV,IE00BGV5VR99,Globalny,Akcje - technologia,XTRACKERS FUTURE MOBILITY UCITS ETF 1C ,Xtrackers,Accumulating,2019,Irlandia,Fizyczna,tak,tak,tak,"0,35%",132,65,USD,,,,,,,,,,,,,,
